"W1","W2","W3","W4","W5","W6","W7","W8","T","Y","g0"
0,0,1,0,0,0,1,0,0,10.1884971045458,0.48750260351579
1,1,0,1,1,0,0,0,1,15.3910564184373,0.59145897843278
1,0,1,1,0,0,1,0,1,13.9881206208512,0.467545693612681
1,0,1,1,1,0,1,0,1,13.1039451653016,0.615383756391182
1,0,0,0,0,0,1,0,1,11.9121346060725,0.51249739648421
1,0,0,1,1,1,0,0,1,16.5616805928145,0.683520893736316
0,0,0,0,0,0,1,0,0,13.1115827140533,0.53742984534375
0,0,0,0,0,0,0,0,1,9.30536610111808,0.51249739648421
1,0,0,1,0,0,1,0,1,14.3713538001601,0.51749285766639
1,0,1,1,0,0,1,0,0,14.0027351505188,0.467545693612681
0,0,1,0,0,0,1,0,1,12.3196615279623,0.48750260351579
0,0,1,0,0,0,0,0,0,10.8232761068835,0.46257015465625
0,0,0,0,0,0,1,0,0,11.9158422080311,0.53742984534375
1,1,1,0,1,1,0,1,1,16.2197369442312,0.58661757891733
0,1,1,0,0,0,1,0,1,12.1137487267885,0.437823499114202
0,1,0,1,1,1,0,1,1,16.5147447829527,0.661503159202952
0,0,0,0,0,0,0,0,0,10.7201167436102,0.51249739648421
1,0,1,0,1,1,1,1,0,13.5290139535976,0.657010462673499
1,1,1,1,1,1,1,0,1,18.1129791811671,0.615383756391182
0,1,0,1,0,1,0,0,1,14.4958456978197,0.51749285766639
0,1,0,0,0,0,0,0,0,10.2915119713155,0.46257015465625
0,0,0,0,0,1,0,0,1,13.0224125263438,0.562176500885798
1,1,1,1,1,1,0,1,0,14.7806528188005,0.59145897843278
0,0,0,0,0,0,1,0,0,12.8168917082616,0.53742984534375
1,0,0,1,1,1,0,1,0,14.9897533303087,0.683520893736316
0,0,0,0,0,0,1,0,1,13.6967486718373,0.53742984534375
1,0,0,1,1,1,0,0,1,16.3129711561506,0.683520893736316
0,1,1,0,0,0,0,0,1,11.3700606037465,0.41338242108267
0,1,0,0,0,1,1,0,0,13.6434153238813,0.53742984534375
1,1,0,0,0,0,1,0,1,12.6370538643648,0.46257015465625
0,1,1,0,1,1,1,1,1,15.3882440594037,0.634135591010801
0,1,0,0,0,0,1,1,0,12.4051205587752,0.48750260351579
0,0,0,0,0,0,1,0,1,12.9236389996604,0.53742984534375
0,1,1,1,0,1,0,1,0,13.0263872165274,0.467545693612681
1,1,1,1,1,0,0,1,0,11.8072132840927,0.542397940774351
1,1,0,1,1,1,1,1,1,16.5356278513799,0.661503159202952
0,0,0,0,0,0,1,0,0,11.0764064441444,0.53742984534375
1,1,1,1,1,1,0,0,0,15.63710791632,0.59145897843278
1,0,0,0,0,0,0,0,0,10.8607705525115,0.48750260351579
1,0,1,1,0,0,1,0,0,13.3467681691411,0.467545693612681
0,1,0,0,0,0,0,1,1,13.076754547487,0.46257015465625
1,0,1,1,1,1,0,0,0,11.2193575931566,0.638763175148842
1,0,0,1,1,0,0,0,1,13.2307634735192,0.638763175148842
1,0,1,1,1,1,1,0,1,15.1560858642941,0.661503159202952
0,0,0,0,0,1,1,0,1,14.9065365545389,0.58661757891733
0,0,1,0,0,1,1,0,0,11.7706799308164,0.53742984534375
0,0,0,0,0,0,1,0,1,11.2193548253459,0.53742984534375
1,0,1,1,1,0,1,0,1,13.6910189627302,0.615383756391182
1,1,0,1,1,1,1,1,1,17.0588981503217,0.661503159202952
1,1,1,0,1,1,0,1,1,12.9619163149134,0.58661757891733
1,0,0,0,1,1,1,0,1,16.6726153697349,0.700567142473973
0,1,1,0,0,1,1,1,1,16.1005790421839,0.48750260351579
0,0,0,1,0,1,1,1,1,13.6141970863045,0.59145897843278
1,1,1,0,1,1,1,0,1,15.9596822112722,0.610639233949222
1,1,0,1,1,1,1,0,1,16.4698389301982,0.661503159202952
0,1,1,0,0,0,0,0,1,14.3710719101989,0.41338242108267
0,1,0,0,0,1,0,1,1,16.4609248784185,0.51249739648421
0,1,1,1,0,0,0,1,1,13.8516153764305,0.418240623158164
0,0,1,0,0,0,0,0,0,11.4192028247513,0.46257015465625
0,1,1,0,0,1,1,0,1,15.2646355993587,0.48750260351579
0,1,0,0,0,0,0,0,0,9.73890695479613,0.46257015465625
0,1,0,0,0,0,1,0,0,13.7018193266185,0.48750260351579
0,1,1,0,0,0,0,1,0,10.6823145936484,0.41338242108267
0,0,0,0,0,0,1,0,1,11.7266679948118,0.53742984534375
0,1,0,0,0,0,0,0,0,8.69992030100011,0.46257015465625
1,0,0,1,1,1,1,0,1,16.9149770964347,0.704745697998091
1,1,0,1,1,1,0,0,1,17.2843008853994,0.638763175148842
1,1,0,0,1,1,0,0,1,15.7415632071803,0.634135591010801
1,0,0,1,1,1,1,1,1,15.6180351572028,0.704745697998091
1,1,0,0,1,1,1,1,0,13.8254517098331,0.657010462673499
0,1,1,0,0,0,0,0,1,10.9321517914549,0.41338242108267
1,1,0,1,1,1,1,1,1,17.5745927892167,0.661503159202952
0,0,1,0,0,0,1,0,1,13.2001946275698,0.48750260351579
1,1,1,1,1,1,1,1,1,16.4570726222773,0.615383756391182
0,0,1,0,0,1,0,0,1,12.489494885631,0.51249739648421
1,0,0,1,1,0,0,0,1,14.7647909103279,0.638763175148842
0,1,0,0,0,1,1,1,1,15.4036279262268,0.53742984534375
0,0,0,0,0,0,1,0,0,9.60451309303808,0.53742984534375
0,0,1,1,1,1,1,1,0,14.0048626128107,0.683520893736316
0,0,0,0,0,0,0,1,1,10.4625513058632,0.51249739648421
0,0,0,0,0,0,1,0,1,12.0181626876319,0.53742984534375
1,0,0,1,1,1,1,1,0,14.0352194740978,0.704745697998091
1,1,1,1,1,1,0,1,0,13.3735493652455,0.59145897843278
1,1,0,1,1,1,0,1,1,15.8802328533237,0.638763175148842
1,0,0,0,0,0,0,0,0,11.1778191732231,0.48750260351579
0,1,1,1,1,1,1,1,1,16.4784058718606,0.638763175148842
1,1,0,0,0,0,0,0,0,12.2639781388562,0.437823499114202
1,1,0,1,1,1,1,1,0,16.5434323785823,0.661503159202952
1,1,0,1,1,1,1,0,1,15.023387234694,0.661503159202952
0,1,1,1,1,1,0,0,1,14.696718423159,0.615383756391182
0,1,1,0,1,0,1,0,1,15.0053449188573,0.58661757891733
0,1,0,0,0,0,0,1,0,12.3541250137772,0.46257015465625
0,1,1,0,0,0,1,1,0,10.6628374934276,0.437823499114202
0,1,0,0,0,0,0,0,0,11.2616116346627,0.46257015465625
1,1,0,0,0,0,0,0,1,12.2371626412318,0.437823499114202
1,1,0,1,0,0,1,0,1,15.8584012334676,0.467545693612681
1,1,1,1,1,1,1,1,1,15.898169778044,0.615383756391182
1,0,1,1,1,1,1,0,1,17.0562207491077,0.661503159202952
1,1,1,0,0,1,1,0,1,15.9955023089428,0.46257015465625
0,1,1,0,0,0,1,0,1,11.5585479329674,0.437823499114202
0,1,0,0,0,0,0,0,1,11.0797790700398,0.46257015465625
0,0,1,0,1,1,1,0,1,13.6587343448982,0.679178699175393
1,0,0,1,1,1,1,0,1,15.24561557274,0.704745697998091
0,0,1,0,1,1,0,0,1,14.5466786139737,0.657010462673499
0,0,0,0,0,0,0,0,0,10.6901950076745,0.51249739648421
0,0,0,1,1,1,1,0,1,14.3733751890514,0.725119497789823
0,0,1,0,0,0,1,0,1,12.6154614624843,0.48750260351579
0,0,1,0,0,0,1,0,0,10.4111300582619,0.48750260351579
1,1,1,1,1,1,1,1,1,16.6666586627167,0.615383756391182
0,1,0,0,0,0,1,1,0,11.4667997440477,0.48750260351579
1,0,0,0,1,1,1,1,0,11.7410818412084,0.700567142473973
